customer_id,name,age_range,marital_status,family_size,no_of_children,income_bracket,gender,mean_discount_used_by_cust,unique_items_bought_by_cust,mean_selling_price_paid_by_cust,mean_quantity_bought_by_cust,total_discount_used_by_cust,total_coupons_used_by_cust,total_price_paid_by_cust,total_quantity_bought_by_cust
1,Karen Montgomery,70+,Married,2,0,4,F,-1.75,463,99.22,1.0,-1832.94,78,103982.01,1048
2,Tracey Newman,46-55,Married,2,0,1,F,-0.45,352,108.26,1.0,-189.97,4,45360.6,419
3,Noah King,18-25,Married,2,0,2,M,-1.89,406,86.97,1.0,-1329.46,53,61312.59,707
4,Jennifer West,46-55,Married,5,3,3,F,-0.08,125,138.34,1.0,-17.81,1,30434.3,220
5,Joshua Willis,26-35,Single,3,2,3,M,-0.11,490,115.6,1.03,-90.83,2,91553.24,814
6,Ricky Parker,46-55,Married,2,0,5,M,-0.63,429,102.43,1.0,-369.55,11,59716.13,583
7,Lawrence Lawson,26-35,Married,3,1,3,M,-0.65,780,101.8,1.01,-687.47,17,107194.4,1066
8,Mark Tate,26-35,Married,4,2,6,M,-3.72,719,126.24,1.25,-4899.4,192,166389.9,1643
9,Karen Wyatt,26-35,Single,2,1,4,F,-0.77,405,90.97,1.05,-430.64,8,50672.81,585
10,Christopher Gonzalez,46-55,Single,1,0,5,M,0.0,268,94.61,1.04,0.0,0,46455.82,509
11,Marcus Smith,70+,Single,2,1,1,M,-1.6,282,116.04,1.11,-988.45,10,71594.7,683
12,Thomas Morgan,46-55,Married,2,0,7,M,-0.96,436,119.82,1.03,-929.96,45,115504.13,993
13,Sara Byrd,36-45,Single,1,0,2,F,-0.11,1192,83.27,1.03,-272.48,10,205750.82,2544
14,Courtney Kemp,26-35,Married,2,0,6,F,-0.4,327,101.65,1.07,-492.72,27,126446.72,1328
15,Pamela Knight,46-55,Married,2,0,6,F,-1.17,463,104.45,1.08,-967.07,39,86483.25,895
16,Shannon Floyd,36-45,Married,2,0,1,F,0.0,328,136.27,1.08,0.0,0,72497.44,575
17,Terry Smith,36-45,Single,1,0,5,M,-1.24,306,120.93,1.01,-708.13,5,69174.48,575
18,Christina Schwartz,36-45,Married,2,0,5,F,0.0,315,82.29,1.0,0.0,0,41886.68,509
19,Sharon Sanford,46-55,Single,1,0,3,F,-0.07,410,91.89,1.0,-90.82,4,127815.7,1391
20,Susan Allen,36-45,Married,2,0,5,F,0.0,229,127.8,1.02,0.0,0,48181.07,385
21,Christopher Ward,36-45,Married,2,0,4,M,-0.32,277,100.77,1.0,-120.75,3,38594.99,383
22,Mrs. Wendy Santiago,36-45,Single,2,1,4,F,-7.84,329,130.09,1.1,-3334.06,154,55287.89,467
23,Shawna Morales,46-55,Married,2,0,4,F,-0.15,467,104.15,1.11,-90.83,3,62072.75,661
24,Nathan Park,70+,Single,1,0,4,M,-0.02,403,98.23,1.0,-12.47,1,63458.36,648
25,Lindsay Roberts,46-55,Married,2,0,4,F,-0.09,96,107.29,1.07,-17.81,1,21028.23,210
26,Collin Young,36-45,Married,3,1,3,M,-0.27,108,129.41,1.0,-29.68,1,14235.56,110
27,Joshua Diaz,36-45,Married,2,0,8,M,-0.29,866,99.97,1.0,-334.71,14,116368.66,1167
28,Angelica Wallace,46-55,Married,2,0,1,F,-0.11,1045,97.75,1.09,-231.52,7,200690.92,2242
29,John Smith,70+,Single,3,2,1,M,0.0,232,91.09,1.0,0.0,0,47821.35,525
30,Kelly Berry,70+,Single,1,0,5,F,-0.58,198,81.0,1.0,-325.92,18,45440.98,561
31,William Garcia,36-45,Single,5,3,2,M,-0.72,190,66.47,1.03,-217.27,7,20139.08,313
32,Michael Osborne,36-45,Single,1,0,9,M,-0.34,140,117.22,1.0,-71.24,1,24850.27,212
33,Donna Smith,46-55,Married,5,3,9,F,-0.17,774,130.25,1.02,-169.2,3,132724.74,1040
34,Brian Nicholson,46-55,Married,2,0,2,M,0.0,290,128.31,1.0,0.0,0,48887.4,381
35,Robert Bates,18-25,Married,2,0,4,M,-0.82,170,107.59,1.05,-195.91,4,25712.86,250
36,Michelle Stevenson,36-45,Married,2,0,4,F,-0.16,711,105.03,1.08,-158.86,8,105026.25,1081
37,Anna Hamilton,36-45,Married,2,0,8,F,-0.04,276,97.55,1.0,-19.59,1,51801.68,531
38,Thomas Morgan,46-55,Single,2,1,5,M,-0.02,697,110.31,1.02,-17.81,1,111413.62,1030
39,Jennifer Allen,70+,Married,2,0,4,F,0.0,152,117.45,1.0,0.0,0,25956.71,221
40,David Williams,56-70,Married,4,2,7,M,-0.59,696,106.64,1.0,-784.71,34,142365.91,1337
41,Misty Ingram,46-55,Single,2,1,4,F,-0.29,295,94.35,1.05,-136.78,2,44626.62,495
42,Allison Howell,26-35,Married,4,2,9,F,-0.72,983,107.26,1.15,-1199.48,45,179236.5,1916
43,Tamara Rios,26-35,Single,1,0,5,F,-0.06,368,90.3,1.0,-37.4,2,55443.61,614
44,Paul Anderson,36-45,Single,3,2,4,M,0.0,254,151.87,1.0,0.0,0,43890.5,289
45,Shawn Hunt,46-55,Married,5,3,1,M,-2.88,728,105.31,1.03,-3849.98,163,140910.98,1373
46,Karen Fuller,56-70,Married,2,0,5,F,-0.69,674,81.17,1.02,-768.49,24,90176.72,1137
47,Melissa Anderson,26-35,Single,1,0,4,F,-0.02,828,98.48,1.0,-17.8,2,116401.41,1182
48,Michael Scott,36-45,Married,2,0,3,M,-2.1,244,190.74,1.01,-810.35,12,73436.16,388
49,Christine Newman,56-70,Married,2,0,7,F,-0.24,760,94.19,1.02,-391.46,2,152584.45,1648
50,Terry Sutton,46-55,Married,3,1,4,M,0.0,431,109.45,1.09,0.0,0,65996.58,656
51,Christina Lopez DDS,70+,Married,2,0,2,F,-0.53,259,75.6,1.0,-302.77,9,42942.81,568
52,Jose Jones,36-45,Married,5,3,7,M,-0.42,858,100.29,1.0,-569.92,19,137394.07,1370
53,Jessica Burns,56-70,Single,1,0,3,F,0.0,252,76.46,1.0,0.0,0,39682.81,519
54,Stephen Hernandez,56-70,Single,1,0,3,M,-0.72,487,103.53,1.05,-532.52,23,76407.25,772
55,Debra Sanchez,46-55,Married,2,0,5,F,-0.87,425,87.1,1.04,-456.83,11,45728.04,547
56,Cindy Warner,18-25,Married,3,1,5,F,-0.06,799,91.86,1.0,-88.69,1,140914.43,1534
57,Joe Williams,46-55,Married,2,0,6,M,0.0,208,96.0,1.04,0.0,0,23712.9,257
58,Jeremy Russo,26-35,Single,1,0,4,M,-0.04,679,94.17,1.03,-41.85,2,102838.9,1125
59,Edward Simmons,70+,Single,1,0,4,M,-0.07,523,113.24,1.01,-44.52,1,74965.42,666
60,John Hart,36-45,Single,1,0,3,M,-0.57,1485,86.12,1.01,-1898.01,67,286593.68,3367
61,Jason Bauer,46-55,Married,2,0,6,M,0.0,315,91.65,1.08,0.0,0,42708.98,501
